

/Gem Systems GSM-19GW 9013065 v7.0 8 XII 2008 M ew5fpl.v7s                         
/ID 1 file 05survey.b   15 II 00
/datum  57000.00
/
/time nT sq 
022632.0  32611.48 99 
022642.0  32611.46 99 
022652.0  32611.38 99 
022702.0  32611.49 99 
022712.0  32611.47 99 
022722.0  32611.46 99 
022732.0  32611.46 99 
022742.0  32611.44 99 
022752.0  32611.50 99 
022802.0  32611.38 99 
022812.0  32611.39 99 
022822.0  32611.46 99 
022832.0  32611.35 99 
022842.0  32611.43 99 
022852.0  32611.33 99 
022902.0  32611.25 99 
022912.0  32611.30 99 
022922.0  32611.37 99 
022932.0  32611.36 99 
022942.0  32611.42 99 
022952.0  32611.44 99 
023002.0  32611.35 99 
023012.0  32611.35 99 
023022.0  32611.42 99 
023032.0  32611.46 99 
023042.0  32611.35 99 
023052.0  32611.37 99 
023102.0  32611.38 99 
023112.0  32611.40 99 
023122.0  32611.50 99 
023132.0  32611.46 99 
023142.0  32611.45 99 
023152.0  32611.46 99 
023202.0  32611.48 99 
023212.0  32611.54 99 
023222.0  32611.55 99 
023232.0  32611.53 99 
023242.0  32611.56 99 
023252.0  32611.67 99 
023302.0  32611.72 99 
023312.0  32611.81 99 
023322.0  32611.81 99 
023332.0  32611.78 99 
023342.0  32611.78 99 
023352.0  32611.83 99 
023402.0  32611.87 99 
023412.0  32611.82 99 
023422.0  32611.84 99 
023432.0  32611.93 99 
023442.0  32611.97 99 
023452.0  32612.06 99 
023502.0  32612.09 99 
023512.0  32612.06 99 
023522.0  32612.08 99 
023532.0  32612.06 99 
023542.0  32612.11 99 
023552.0  32612.06 99 
023602.0  32612.19 99 
023612.0  32612.11 99 
023622.0  32612.17 99 
023632.0  32612.13 99 
023642.0  32612.10 99 
023652.0  32612.13 99 
023702.0  32612.15 99 
023712.0  32612.18 99 
023722.0  32612.10 99 
023732.0  32612.15 99 
023742.0  32612.06 99 
023752.0  32612.15 99 
023802.0  32612.17 99 
023812.0  32612.07 99 
023822.0  32612.14 99 
023832.0  32612.11 99 
023842.0  32612.16 99 
023852.0  32612.14 99 
023902.0  32612.17 99 
023912.0  32612.15 99 
023922.0  32612.14 99 
023932.0  32612.13 99 
023942.0  32612.07 99 
023952.0  32612.06 99 
024002.0  32612.09 99 
024012.0  32612.16 99 
024022.0  32612.14 99 
024032.0  32612.13 99 
024042.0  32612.23 99 
024052.0  32612.20 99 
024102.0  32612.17 99 
024112.0  32612.23 99 
024122.0  32612.28 99 
024132.0  32612.13 99 
024142.0  32612.30 99 
024152.0  32612.25 99 
024202.0  32612.26 99 
024212.0  32612.34 99 
024222.0  32612.35 99 
024232.0  32612.44 99 
024242.0  32612.48 99 
024252.0  32612.50 99 
024302.0  32612.43 99 
024312.0  32612.39 99 
024322.0  32612.54 99 
024332.0  32612.54 99 
024342.0  32612.46 99 
024352.0  32612.62 99 
024402.0  32612.52 99 
024412.0  32612.58 99 
024422.0  32612.62 99 
024432.0  32612.68 99 
024442.0  32612.71 99 
024452.0  32612.63 99 
024502.0  32612.55 99 
024512.0  32612.64 99 
024522.0  32612.63 99 
024532.0  32612.61 99 
024542.0  32612.71 99 
024552.0  32612.70 99 
024602.0  32612.64 99 
024612.0  32612.58 99 
024622.0  32612.47 99 
024632.0  32612.56 99 
024642.0  32612.66 99 
024652.0  32612.60 99 
024702.0  32612.61 99 
024712.0  32612.61 99 
024722.0  32612.56 99 
024732.0  32612.55 99 
024742.0  32612.53 99 
024752.0  32612.48 99 
024802.0  32612.55 99 
024812.0  32612.47 99 
024822.0  32612.47 99 
024832.0  32612.42 99 
024842.0  32612.50 99 
024852.0  32612.49 99 
024902.0  32612.49 99 
024912.0  32612.53 99 
024922.0  32612.46 99 
024932.0  32612.45 99 
024942.0  32612.37 99 
024952.0  32612.45 99 
025002.0  32612.48 99 
025012.0  32612.48 99 
025022.0  32612.44 99 
025032.0  32612.49 99 
025042.0  32612.30 99 
025052.0  32612.43 99 
025102.0  32612.44 99 
025112.0  32612.49 99 
025122.0  32612.63 99 
025132.0  32612.58 99 
025142.0  32612.45 99 
025152.0  32612.48 99 
025202.0  32612.52 99 
025212.0  32612.49 99 
025222.0  32612.49 99 
025232.0  32612.48 99 
025242.0  32612.53 99 
025252.0  32612.50 99 
025302.0  32612.45 99 
025312.0  32612.46 99 
025322.0  32612.58 99 
025332.0  32612.54 99 
025342.0  32612.60 99 
025352.0  32612.57 99 
025402.0  32612.59 99 
025412.0  32612.60 99 
025422.0  32612.54 99 
025432.0  32612.63 99 
025442.0  32612.62 99 
025452.0  32612.52 99 
025502.0  32612.62 99 
025512.0  32612.53 99 
025522.0  32612.54 99 
025532.0  32612.59 99 
025542.0  32612.65 99 
025552.0  32612.62 99 
025602.0  32612.72 99 
025612.0  32612.68 99 
025622.0  32612.60 99 
025632.0  32612.70 99 
025642.0  32612.67 99 
025652.0  32612.75 99 
025702.0  32612.71 99 
025712.0  32612.65 99 
025722.0  32612.72 99 
025732.0  32612.74 99 
025742.0  32612.66 99 
025752.0  32612.70 99 
025802.0  32612.66 99 
025812.0  32612.68 99 
025822.0  32612.67 99 
025832.0  32612.67 99 
025842.0  32612.74 99 
025852.0  32612.64 99 
025902.0  32612.70 99 
025912.0  32612.67 99 
025922.0  32612.74 99 
025932.0  32612.76 99 
025942.0  32612.71 99 
025952.0  32612.67 99 
030002.0  32612.61 99 
030012.0  32612.65 99 
030022.0  32612.60 99 
030032.0  32612.56 99 
030042.0  32612.62 99 
030052.0  32612.69 99 
030102.0  32612.68 99 
030112.0  32612.62 99 
030122.0  32612.58 99 
030132.0  32612.68 99 
030142.0  32612.67 99 
030152.0  32612.67 99 
030202.0  32612.65 99 
030212.0  32612.63 99 
030222.0  32612.68 99 
030232.0  32612.69 99 
030242.0  32612.65 99 
030252.0  32612.66 99 
030302.0  32612.59 99 
030312.0  32612.69 99 
030322.0  32612.67 99 
030332.0  32612.70 99 
030342.0  32612.72 99 
030352.0  32612.63 99 
030402.0  32612.72 99 
030412.0  32612.69 99 
030422.0  32612.76 99 
030432.0  32612.78 99 
030442.0  32612.64 99 
030452.0  32612.68 99 
030502.0  32612.75 99 
030512.0  32612.69 99 
030522.0  32612.74 99 
030532.0  32612.72 99 
030542.0  32612.73 99 
030552.0  32612.74 99 
030602.0  32612.72 99 
030612.0  32612.68 99 
030622.0  32612.81 99 
030632.0  32612.81 99 
030642.0  32612.79 99 
030652.0  32612.76 99 
030702.0  32612.81 99 
030712.0  32612.74 99 
030722.0  32612.78 99 
030732.0  32612.81 99 
030742.0  32612.79 99 
030752.0  32612.81 99 
030802.0  32612.86 99 
030812.0  32612.88 99 
030822.0  32612.92 99 
030832.0  32612.93 99 
030842.0  32612.97 99 
030852.0  32612.94 99 
030902.0  32612.92 99 
030912.0  32612.96 99 
030922.0  32612.96 99 
030932.0  32612.97 99 
030942.0  32612.93 99 
030952.0  32612.97 99 
031002.0  32613.01 99 
031012.0  32612.92 99 
031022.0  32612.93 99 
031032.0  32612.93 99 
031042.0  32612.94 99 
031052.0  32612.92 99 
031102.0  32612.91 99 
031112.0  32612.94 99 
031122.0  32612.92 99 
031132.0  32612.97 99 
031142.0  32612.95 99 
031152.0  32612.93 99 
031202.0  32612.95 99 
031212.0  32613.00 99 
031222.0  32612.91 99 
031232.0  32612.98 99 
031242.0  32612.99 99 
031252.0  32612.99 99 
031302.0  32612.99 99 
031312.0  32612.99 99 
031322.0  32613.03 99 
031332.0  32613.10 99 
031342.0  32613.11 99 
031352.0  32613.11 99 
031402.0  32613.06 99 
031412.0  32613.14 99 
031422.0  32613.13 99 
031432.0  32613.17 99 
031442.0  32613.27 99 
031452.0  32613.24 99 
031502.0  32613.19 99 
031512.0  32613.18 99 
031522.0  32613.24 99 
031532.0  32613.26 99 
031542.0  32613.25 99 
031552.0  32613.23 99 
031602.0  32613.20 99 
031612.0  32613.28 99 
031622.0  32613.32 99 
031632.0  32613.29 99 
031642.0  32613.36 99 
031652.0  32613.44 99 
031702.0  32613.36 99 
031712.0  32613.42 99 
031722.0  32613.43 99 
031732.0  32613.42 99 
031742.0  32613.41 99 
031752.0  32613.46 99 
031802.0  32613.49 99 
031812.0  32613.47 99 
031822.0  32613.51 99 
031832.0  32613.52 99 
031842.0  32613.58 99 
031852.0  32613.54 99 
031902.0  32613.61 99 
031912.0  32613.64 99 
031922.0  32613.63 99 
031932.0  32613.70 99 
031942.0  32613.59 99 
031952.0  32613.69 99 
032002.0  32613.64 99 
032012.0  32613.65 99 
032022.0  32613.70 99 
032032.0  32613.61 99 
032042.0  32613.67 99 
032052.0  32613.60 99 
032102.0  32613.61 99 
032112.0  32613.61 99 
032122.0  32613.56 99 
032132.0  32613.57 99 
032142.0  32613.55 99 
032152.0  32613.53 99 
032202.0  32613.50 99 
032212.0  32613.54 99 
032222.0  32613.52 99 
032232.0  32613.51 99 
032242.0  32613.56 99 
032252.0  32613.56 99 
032302.0  32613.60 99 
032312.0  32613.49 99 
032322.0  32613.46 99 
032332.0  32613.48 99 
032342.0  32613.48 99 
032352.0  32613.47 99 
032402.0  32613.61 99 
032412.0  32613.53 99 
032422.0  32613.61 99 
032432.0  32613.55 99 
032442.0  32613.52 99 
032452.0  32613.55 99 
032502.0  32613.53 99 
032512.0  32613.60 99 
032522.0  32613.63 99 
032532.0  32613.59 99 
032542.0  32613.57 99 
032552.0  32613.61 99 
032602.0  32613.61 99 
032612.0  32613.61 99 
032622.0  32613.63 99 
032632.0  32613.59 99 
032642.0  32613.73 99 
032652.0  32613.79 99 
032702.0  32613.72 99 
032712.0  32613.76 99 
032722.0  32613.86 99 
032732.0  32613.86 99 
032742.0  32613.88 99 
032752.0  32613.92 99 
032802.0  32613.89 99 
032812.0  32613.95 99 
032822.0  32613.95 99 
032832.0  32613.98 99 
