

/Gem Systems GSM-19GW 9013065 v7.0 8 XII 2008 M ew5fpl.v7s                         
/ID 1 file 01survey.wg  15 II 00
/00112 sensor distance cm 
/X Y nT nT/m sq cor-nT time picket-x picket-y 
 0  0  33324.21  0025.25 49 * 001938.0 * * 
 0  0  33222.88 -0064.43 99 * 001940.0 * * 
 0  0  33194.54 -0022.45 99 * 001942.0 * * 
 0  0  33202.26 -0012.45 99 * 001944.0 * * 
 0  0  33206.23 -0009.14 99 * 001946.0 * * 
 0  0  33203.45 -0010.93 99 * 001948.0 * * 
 0  0  33196.49 -0017.20 99 * 001950.0 * * 
 0  0  33196.10 -0017.39 99 * 001952.0 * * 
 0  0  33196.07 -0017.52 99 * 001954.0 * * 
 0  0  33196.05 -0017.41 99 * 001956.0 * * 
 0  0  33196.14 -0017.53 99 * 001958.0 * * 
 0  0  33196.09 -0017.26 99 * 002000.0 * * 
 0  0  33196.07 -0017.24 99 * 002002.0 * * 
 0  0  33196.17 -0016.96 99 * 002004.0 * * 
 0  0  33196.21 -0016.90 99 * 002006.0 * * 
 0  0  33196.23 -0016.81 99 * 002008.0 * * 
 0  0  33196.07 -0016.95 99 * 002010.0 * * 
/ 002030.0 g1
 0  0  33195.89 -0017.26 99 * 002048.0 * * 
 0  0  33195.27 -0017.83 99 * 002050.0 * * 
 0  0  33204.74 -0009.77 99 * 002052.0 * * 
 0  0  33218.36  0000.56 99 * 002054.0 * * 
 0  0  33215.57 -0000.83 99 * 002056.0 * * 
 0  0  33225.02  0006.70 99 * 002058.0 * * 
 0  0  33224.65  0005.75 99 * 002100.0 * * 
 0  0  33218.70  0001.28 99 * 002102.0 * * 
 0  0  33210.02 -0005.79 99 * 002104.0 * * 
 0  0  33203.11 -0027.68 99 * 002106.0 * * 
 0  0  33173.16  0069.36 99 * 002108.0 * * 
 0  0  32547.29 -0186.38 49 * 002110.0 * * 
 0  0  32142.81 -0418.85 49 * 002112.0 * * 
 0  0  32235.42 -0342.08 39 * 002114.0 * * 
 0  0  32062.16 -0414.51 29 * 002116.0 * * 
 0  0  32038.61 -0432.71 19 * 002118.0 * * 
 0  0  32024.67 -0444.85 19 * 002120.0 * * 
 0  0  32014.39 -0454.86 19 * 002122.0 * * 
 0  0  32012.66 -0455.41 19 * 002124.0 * * 
 0  0  32011.17 -0456.38 19 * 002126.0 * * 
 0  0  32008.58 -0458.27 19 * 002128.0 * * 
 0  0  32010.67 -0456.75 19 * 002130.0 * * 
 0  0  32010.14 -0456.76 19 * 002132.0 * * 
 0  0  32012.06 -0456.18 19 * 002134.0 * * 
 0  0  32010.99 -0456.53 19 * 002136.0 * * 
 0  0  32009.77 -0457.67 19 * 002138.0 * * 
 0  0  32012.14 -0455.25 19 * 002140.0 * * 
 0  0  32010.96 -0456.69 19 * 002142.0 * * 
/ 002208.0 g2
 0  0  32010.98 -0455.91 19 * 002220.0 * * 
 0  0  32010.63 -0456.41 19 * 002222.0 * * 
 0  0  32012.53 -0455.98 19 * 002224.0 * * 
 0  0  32016.90 -0452.62 19 * 002226.0 * * 
 0  0  32016.78 -0452.25 19 * 002228.0 * * 
 0  0  32018.84 -0450.99 19 * 002230.0 * * 
 0  0  32016.38 -0452.92 19 * 002232.0 * * 
 0  0  32017.68 -0452.28 19 * 002234.0 * * 
 0  0  32015.45 -0454.08 19 * 002236.0 * * 
 0  0  32032.21 -0441.33 19 * 002238.0 * * 
 0  0  32173.79 -0412.03 39 * 002240.0 * * 
 0  0  32068.91 -0509.29 29 * 002242.0 * * 
 0  0  31780.31 -0869.66 19 * 002244.0 * * 
 0  0  00000.00 -9999.99 09 * 002246.0 * * 
 0  0  34057.76  0222.99 29 * 002248.0 * * 
 0  0  34076.65  0365.68 29 * 002250.0 * * 
 0  0  34140.84  0433.58 39 * 002252.0 * * 
 0  0  34157.86  0427.41 39 * 002254.0 * * 
 0  0  34164.55  0418.41 39 * 002256.0 * * 
 0  0  34167.33  0432.45 39 * 002258.0 * * 
 0  0  34187.70  0394.56 39 * 002300.0 * * 
 0  0  34176.76  0419.99 39 * 002302.0 * * 
 0  0  34184.49  0441.33 39 * 002304.0 * * 
 0  0  34174.50  0460.16 39 * 002306.0 * * 
 0  0  34207.83  0427.83 39 * 002308.0 * * 
 0  0  34184.36  0475.72 39 * 002310.0 * * 
 0  0  34170.12  0483.58 39 * 002312.0 * * 
 0  0  34192.53  0454.29 49 * 002314.0 * * 
 0  0  34060.88  0392.40 49 * 002316.0 * * 
 0  0  34243.34  0536.57 39 * 002318.0 * * 
 0  0  34301.79  0575.01 39 * 002320.0 * * 
 0  0  34293.08  0565.98 39 * 002322.0 * * 
 0  0  34293.81  0564.24 39 * 002324.0 * * 
 0  0  34292.72  0563.42 39 * 002326.0 * * 
 0  0  34293.01  0562.14 39 * 002328.0 * * 
 0  0  34293.80  0562.27 39 * 002330.0 * * 
 0  0  34293.59  0561.41 39 * 002332.0 * * 
 0  0  34293.06  0562.00 39 * 002334.0 * * 
 0  0  34293.20  0563.13 39 * 002336.0 * * 
 0  0  34292.56  0563.19 39 * 002338.0 * * 
 0  0  34292.11  0562.12 39 * 002340.0 * * 
 0  0  34292.94  0562.83 39 * 002342.0 * * 
 0  0  34292.86  0562.09 39 * 002344.0 * * 
 0  0  34292.39  0562.25 39 * 002346.0 * * 
 0  0  34292.05  0561.66 39 * 002348.0 * * 
 0  0  34292.29  0562.06 39 * 002350.0 * * 
/ 002409.0 f2
 0  0  34292.48  0562.01 39 * 002420.0 * * 
 0  0  34292.62  0563.42 39 * 002422.0 * * 
 0  0  34299.03  0570.60 39 * 002424.0 * * 
 0  0  34308.36  0586.26 39 * 002426.0 * * 
 0  0  34316.95  0583.25 39 * 002428.0 * * 
 0  0  34312.98  0583.18 39 * 002430.0 * * 
 0  0  34045.84  0408.00 49 * 002432.0 * * 
 0  0  33809.04  0104.88 39 * 002434.0 * * 
 0  0  33172.26 -0124.68 69 * 002436.0 * * 
 0  0  32814.20 -0084.83 99 * 002438.0 * * 
 0  0  32829.99 -0028.66 99 * 002440.0 * * 
 0  0  32842.10 -0009.78 99 * 002442.0 * * 
 0  0  32826.98 -0022.66 99 * 002444.0 * * 
 0  0  32825.79 -0023.41 99 * 002446.0 * * 
 0  0  32825.02 -0024.07 99 * 002448.0 * * 
 0  0  32825.46 -0023.90 99 * 002450.0 * * 
 0  0  32825.11 -0024.18 99 * 002452.0 * * 
 0  0  32825.25 -0024.05 99 * 002454.0 * * 
 0  0  32824.95 -0024.11 99 * 002456.0 * * 
 0  0  32825.07 -0023.99 99 * 002458.0 * * 
 0  0  32824.71 -0024.23 99 * 002500.0 * * 
 0  0  32825.07 -0023.85 99 * 002502.0 * * 
/ 002532.0 e2
 0  0  32824.31 -0024.21 99 * 002544.0 * * 
 0  0  32824.65 -0024.24 99 * 002546.0 * * 
 0  0  32837.01 -0014.50 99 * 002548.0 * * 
 0  0  32822.06 -0050.94 99 * 002550.0 * * 
 0  0  32805.38 -0019.15 99 * 002552.0 * * 
 0  0  32477.90 -0192.09 99 * 002554.0 * * 
 0  0  32650.58 -0082.90 89 * 002556.0 * * 
 0  0  32730.92 -0035.47 49 * 002558.0 * * 
 0  0  32765.72  0003.75 39 * 002600.0 * * 
 0  0  32751.94 -0006.90 39 * 002602.0 * * 
 0  0  32748.94 -0009.10 39 * 002604.0 * * 
 0  0  32748.94 -0008.62 39 * 002606.0 * * 
 0  0  32750.72 -0007.23 39 * 002608.0 * * 
 0  0  32749.13 -0008.37 39 * 002610.0 * * 
 0  0  32750.43 -0007.36 39 * 002612.0 * * 
 0  0  32749.53 -0008.02 39 * 002614.0 * * 
